(n, d, k);[Gematria of ELS];Gematria WordTotal of ELS;ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(101008, 33, 4);[90, 200, 30, 10];330;צרלי;26637;(2, 15, 26, 12, 26637);למצותיו;3;(2, 15, 26, 52, 101008);ויאמר אם שמוע תשמע לקול יהוה אלהיך והישר בעיניו תעשה והאזנת למצותיו ושמרת כל חקיו כל המחלה אשר שמתי במצרים לא אשים עליך כי אני יהוה רפאך
(182589, 33, 4);[90, 200, 30, 10];330;צרלי;48310;(3, 26, 6, 15, 48310);בארצכם;4;(3, 26, 6, 60, 182589);ונתתי שלום בארץ ושכבתם ואין מחריד והשבתי חיה רעה מן הארץ וחרב לא תעבר בארצכם
(220876, 35, 4);[90, 200, 30, 10];330;צרלי;58226;(4, 19, 6, 3, 58226);עץ;2;(4, 19, 6, 10, 220876);ולקח הכהן עץ ארז ואזוב ושני תולעת והשליך אל תוך שרפת הפרה
(114820, 36, 4);[90, 200, 30, 10];330;צרלי;30379;(2, 25, 32, 13, 30379);מצדה;2;(2, 25, 32, 51, 114820);וששה קנים יצאים מצדיה שלשה קני מנרה מצדה האחד ושלשה קני מנרה מצדה השני
(123118, 36, 4);[90, 200, 30, 10];330;צרלי;32471;(2, 30, 3, 1, 32471);וצפית;2;(2, 30, 3, 2, 123118);וצפית אתו זהב טהור את גגו ואת קירתיו סביב ואת קרנתיו ועשית לו זר זהב סביב
(182448, 36, 4);[90, 200, 30, 10];330;צרלי;48275;(3, 26, 4, 5, 48275);הארץ;4;(3, 26, 4, 24, 182448);ונתתי גשמיכם בעתם ונתנה הארץ יבולה ועץ השדה יתן פריו
(231223, 36, 4);[90, 200, 30, 10];330;צרלי;61010;(4, 26, 4, 6, 61010);צוה;1;(4, 26, 4, 21, 231223);מבן עשרים שנה ומעלה כאשר צוה יהוה את משה ובני ישראל היצאים מארץ מצרים
(255268, 36, 4);[90, 200, 30, 10];330;צרלי;67069;(5, 3, 13, 8, 67069);לחצי;3;(5, 3, 13, 31, 255268);ויתר הגלעד וכל הבשן ממלכת עוג נתתי לחצי שבט המנשה כל חבל הארגב לכל הבשן ההוא יקרא ארץ רפאים
(61561, 38, 4);[90, 200, 30, 10];330;צרלי;16338;(1, 41, 30, 10, 16338);מצרים;2;(1, 41, 30, 36, 61561);וקמו שבע שני רעב אחריהן ונשכח כל השבע בארץ מצרים וכלה הרעב את הארץ
(76533, 40, 4);[90, 200, 30, 10];330;צרלי;20209;(1, 49, 31, 11, 20209);יצחק;2;(1, 49, 31, 35, 76533);שמה קברו את אברהם ואת שרה אשתו שמה קברו את יצחק ואת רבקה אשתו ושמה קברתי את לאה
(3455, 41, 4);[90, 200, 30, 10];330;צרלי;907;(1, 3, 11, 9, 907);העץ;3;(1, 3, 11, 28, 3455);ויאמר מי הגיד לך כי עירם אתה המן העץ אשר צויתיך לבלתי אכל ממנו אכלת
(60731, 41, 4);[90, 200, 30, 10];330;צרלי;16128;(1, 41, 14, 6, 16128);ויריצהו;5;(1, 41, 14, 25, 60731);וישלח פרעה ויקרא את יוסף ויריצהו מן הבור ויגלח ויחלף שמלתיו ויבא אל פרעה
(63994, 41, 4);[90, 200, 30, 10];330;צרלי;16987;(1, 42, 21, 12, 16987);צרת;1;(1, 42, 21, 44, 63994);ויאמרו איש אל אחיו אבל אשמים אנחנו על אחינו אשר ראינו צרת נפשו בהתחננו אלינו ולא שמענו על כן באה אלינו הצרה הזאת
(78287, 41, 4);[90, 200, 30, 10];330;צרלי;20668;(2, 1, 8, 5, 20668);מצרים;2;(2, 1, 8, 14, 78287);ויקם מלך חדש על מצרים אשר לא ידע את יוסף
(85450, 41, 4);[90, 200, 30, 10];330;צרלי;22537;(2, 6, 13, 7, 22537);ויצום;3;(2, 6, 13, 24, 85450);וידבר יהוה אל משה ואל אהרן ויצום אל בני ישראל ואל פרעה מלך מצרים להוציא את בני ישראל מארץ מצרים
(130056, 42, 4);[90, 200, 30, 10];330;צרלי;34329;(2, 34, 18, 17, 34329);יצאת;2;(2, 34, 18, 63, 130056);את חג המצות תשמר שבעת ימים תאכל מצות אשר צויתך למועד חדש האביב כי בחדש האביב יצאת ממצרים
(78499, 43, 4);[90, 200, 30, 10];330;צרלי;20725;(2, 1, 12, 8, 20725);ויקצו;4;(2, 1, 12, 29, 78499);וכאשר יענו אתו כן ירבה וכן יפרץ ויקצו מפני בני ישראל
(137077, 43, 4);[90, 200, 30, 10];330;צרלי;36126;(2, 38, 18, 21, 36126);החצר;3;(2, 38, 18, 83, 137077);ומסך שער החצר מעשה רקם תכלת וארגמן ותולעת שני ושש משזר ועשרים אמה ארך וקומה ברחב חמש אמות לעמת קלעי החצר
(239628, 43, 4);[90, 200, 30, 10];330;צרלי;63053;(4, 31, 6, 13, 63053);לצבא;2;(4, 31, 6, 46, 239628);וישלח אתם משה אלף למטה לצבא אתם ואת פינחס בן אלעזר הכהן לצבא וכלי הקדש וחצצרות התרועה בידו
(26706, 44, 4);[90, 200, 30, 10];330;צרלי;7127;(1, 21, 28, 6, 7127);הצאן;2;(1, 21, 28, 20, 26706);ויצב אברהם את שבע כבשת הצאן לבדהן
(151913, 44, 4);[90, 200, 30, 10];330;צרלי;40081;(3, 8, 21, 21, 40081);צוה;1;(3, 8, 21, 75, 151913);ואת הקרב ואת הכרעים רחץ במים ויקטר משה את כל האיל המזבחה עלה הוא לריח ניחח אשה הוא ליהוה כאשר צוה יהוה את משה
(276612, 45, 4);[90, 200, 30, 10];330;צרלי;72555;(5, 16, 3, 4, 72555);חמץ;3;(5, 16, 3, 13, 276612);לא תאכל עליו חמץ שבעת ימים תאכל עליו מצות לחם עני כי בחפזון יצאת מארץ מצרים למען תזכר את יום צאתך מארץ מצרים כל ימי חייך
(163497, 46, 4);[90, 200, 30, 10];330;צרלי;43204;(3, 14, 40, 12, 43204);מחוץ;4;(3, 14, 40, 48, 163497);וצוה הכהן וחלצו את האבנים אשר בהן הנגע והשליכו אתהן אל מחוץ לעיר אל מקום טמא
(25127, 47, 4);[90, 200, 30, 10];330;צרלי;6698;(1, 20, 14, 3, 6698);צאן;1;(1, 20, 14, 11, 25127);ויקח אבימלך צאן ובקר ועבדים ושפחת ויתן לאברהם וישב לו את שרה אשתו
(255172, 47, 4);[90, 200, 30, 10];330;צרלי;67045;(5, 3, 12, 2, 67045);הארץ;4;(5, 3, 12, 7, 255172);ואת הארץ הזאת ירשנו בעת ההוא מערער אשר על נחל ארנן וחצי הר הגלעד ועריו נתתי לראובני ולגדי
(10895, 48, 4);[90, 200, 30, 10];330;צרלי;2930;(1, 9, 13, 10, 2930);הארץ;4;(1, 9, 13, 39, 10895);את קשתי נתתי בענן והיתה לאות ברית ביני ובין הארץ
(36614, 48, 4);[90, 200, 30, 10];330;צרלי;9729;(1, 27, 9, 4, 9729);הצאן;2;(1, 27, 9, 8, 36614);לך נא אל הצאן וקח לי משם שני גדיי עזים טבים ואעשה אתם מטעמים לאביך כאשר אהב
(71581, 48, 4);[90, 200, 30, 10];330;צרלי;18927;(1, 46, 29, 13, 18927);צואריו;1;(1, 46, 29, 52, 71581);ויאסר יוסף מרכבתו ויעל לקראת ישראל אביו גשנה וירא אליו ויפל על צואריו ויבך על צואריו עוד
(14426, 49, 4);[90, 200, 30, 10];330;צרלי;3865;(1, 12, 5, 25, 3865);ארצה;3;(1, 12, 5, 88, 14426);ויקח אברם את שרי אשתו ואת לוט בן אחיו ואת כל רכושם אשר רכשו ואת הנפש אשר עשו בחרן ויצאו ללכת ארצה כנען ויבאו ארצה כנען
(98394, 49, 4);[90, 200, 30, 10];330;צרלי;25968;(2, 14, 8, 7, 25968);מצרים;2;(2, 14, 8, 22, 98394);ויחזק יהוה את לב פרעה מלך מצרים וירדף אחרי בני ישראל ובני ישראל יצאים ביד רמה
(9977, 51, 4);[90, 200, 30, 10];330;צרלי;2675;(1, 8, 17, 17, 2675);בארץ;4;(1, 8, 17, 62, 9977);כל החיה אשר אתך מכל בשר בעוף ובבהמה ובכל הרמש הרמש על הארץ הוצא אתך ושרצו בארץ ופרו ורבו על הארץ
(37770, 51, 4);[90, 200, 30, 10];330;צרלי;10037;(1, 27, 33, 2, 10037);יצחק;2;(1, 27, 33, 7, 37770);ויחרד יצחק חרדה גדלה עד מאד ויאמר מי אפוא הוא הצד ציד ויבא לי ואכל מכל בטרם תבוא ואברכהו גם ברוך יהיה
(80793, 51, 4);[90, 200, 30, 10];330;צרלי;21318;(2, 3, 8, 10, 21318);ארץ;3;(2, 3, 8, 40, 80793);וארד להצילו מיד מצרים ולהעלתו מן הארץ ההוא אל ארץ טובה ורחבה אל ארץ זבת חלב ודבש אל מקום הכנעני והחתי והאמרי והפרזי והחוי והיבוסי
(297291, 51, 4);[90, 200, 30, 10];330;צרלי;78029;(5, 30, 4, 4, 78029);בקצה;3;(5, 30, 4, 13, 297291);אם יהיה נדחך בקצה השמים משם יקבצך יהוה אלהיך ומשם יקחך
(284253, 52, 4);[90, 200, 30, 10];330;צרלי;74617;(5, 22, 6, 4, 74617);צפור;1;(5, 22, 6, 9, 284253);כי יקרא קן צפור לפניך בדרך בכל עץ או על הארץ אפרחים או ביצים והאם רבצת על האפרחים או על הביצים לא תקח האם על הבנים
(9089, 53, 4);[90, 200, 30, 10];330;צרלי;2439;(1, 7, 23, 19, 2439);הארץ;4;(1, 7, 23, 63, 9089);וימח את כל היקום אשר על פני האדמה מאדם עד בהמה עד רמש ועד עוף השמים וימחו מן הארץ וישאר אך נח ואשר אתו בתבה
(274526, 53, 4);[90, 200, 30, 10];330;צרלי;71995;(5, 14, 19, 2, 71995);שרץ;3;(5, 14, 19, 6, 274526);וכל שרץ העוף טמא הוא לכם לא יאכלו
(126347, 55, 4);[90, 200, 30, 10];330;צרלי;33321;(2, 32, 11, 16, 33321);מצרים;2;(2, 32, 11, 58, 126347);ויחל משה את פני יהוה אלהיו ויאמר למה יהוה יחרה אפך בעמך אשר הוצאת מארץ מצרים בכח גדול וביד חזקה
(261088, 55, 4);[90, 200, 30, 10];330;צרלי;68582;(5, 5, 28, 15, 68582);בארץ;4;(5, 5, 28, 62, 261088);ואתה פה עמד עמדי ואדברה אליך את כל המצוה והחקים והמשפטים אשר תלמדם ועשו בארץ אשר אנכי נתן להם לרשתה
(250174, 57, 4);[90, 200, 30, 10];330;צרלי;65754;(5, 1, 5, 3, 65754);בארץ;4;(5, 1, 5, 13, 250174);בעבר הירדן בארץ מואב הואיל משה באר את התורה הזאת לאמר
(26706, 58, 4);[90, 200, 30, 10];330;צרלי;7127;(1, 21, 28, 6, 7127);הצאן;2;(1, 21, 28, 20, 26706);ויצב אברהם את שבע כבשת הצאן לבדהן
(75297, 58, 4);[90, 200, 30, 10];330;צרלי;19884;(1, 49, 2, 1, 19884);הקבצו;4;(1, 49, 2, 4, 75297);הקבצו ושמעו בני יעקב ושמעו אל ישראל אביכם
(81840, 58, 4);[90, 200, 30, 10];330;צרלי;21585;(2, 3, 22, 16, 21585);ונצלתם;3;(2, 3, 22, 65, 81840);ושאלה אשה משכנתה ומגרת ביתה כלי כסף וכלי זהב ושמלת ושמתם על בניכם ועל בנתיכם ונצלתם את מצרים
(74034, 59, 4);[90, 200, 30, 10];330;צרלי;19560;(1, 48, 3, 10, 19560);בארץ;4;(1, 48, 3, 35, 74034);ויאמר יעקב אל יוסף אל שדי נראה אלי בלוז בארץ כנען ויברך אתי
(711, 60, 4);[90, 200, 30, 10];330;צרלי;182;(1, 1, 15, 7, 182);הארץ;4;(1, 1, 15, 31, 711);והיו למאורת ברקיע השמים להאיר על הארץ ויהי כן
(126073, 60, 4);[90, 200, 30, 10];330;צרלי;33246;(2, 32, 6, 12, 33246);לצחק;2;(2, 32, 6, 52, 126073);וישכימו ממחרת ויעלו עלת ויגשו שלמים וישב העם לאכל ושתו ויקמו לצחק
(170508, 60, 4);[90, 200, 30, 10];330;צרלי;45111;(3, 19, 7, 9, 45111);ירצה;3;(3, 19, 7, 33, 170508);ואם האכל יאכל ביום השלישי פגול הוא לא ירצה
(94753, 62, 4);[90, 200, 30, 10];330;צרלי;25004;(2, 12, 15, 3, 25004);מצות;2;(2, 12, 15, 10, 94753);שבעת ימים מצות תאכלו אך ביום הראשון תשביתו שאר מבתיכם כי כל אכל חמץ ונכרתה הנפש ההוא מישראל מיום הראשן עד יום השבעי
(98241, 62, 4);[90, 200, 30, 10];330;צרלי;25925;(2, 14, 5, 3, 25925);מצרים;2;(2, 14, 5, 10, 98241);ויגד למלך מצרים כי ברח העם ויהפך לבב פרעה ועבדיו אל העם ויאמרו מה זאת עשינו כי שלחנו את ישראל מעבדנו
(71965, 63, 4);[90, 200, 30, 10];330;צרלי;19026;(1, 47, 2, 1, 19026);ומקצה;4;(1, 47, 2, 4, 71965);ומקצה אחיו לקח חמשה אנשים ויצגם לפני פרעה
(141032, 63, 4);[90, 200, 30, 10];330;צרלי;37172;(2, 40, 25, 6, 37172);צוה;1;(2, 40, 25, 21, 141032);ויעל הנרת לפני יהוה כאשר צוה יהוה את משה
(270191, 63, 4);[90, 200, 30, 10];330;צרלי;70882;(5, 11, 28, 6, 70882);מצות;2;(5, 11, 28, 19, 270191);והקללה אם לא תשמעו אל מצות יהוה אלהיכם וסרתם מן הדרך אשר אנכי מצוה אתכם היום ללכת אחרי אלהים אחרים אשר לא ידעתם
(91893, 64, 4);[90, 200, 30, 10];330;צרלי;24227;(2, 10, 6, 8, 24227);מצרים;2;(2, 10, 6, 28, 91893);ומלאו בתיך ובתי כל עבדיך ובתי כל מצרים אשר לא ראו אבתיך ואבות אבתיך מיום היותם על האדמה עד היום הזה ויפן ויצא מעם פרעה
(93555, 66, 4);[90, 200, 30, 10];330;צרלי;24686;(2, 11, 4, 9, 24686);יוצא;3;(2, 11, 4, 32, 93555);ויאמר משה כה אמר יהוה כחצת הלילה אני יוצא בתוך מצרים
(164120, 67, 4);[90, 200, 30, 10];330;צרלי;43377;(3, 14, 52, 8, 43377);ובצפר;3;(3, 14, 52, 31, 164120);וחטא את הבית בדם הצפור ובמים החיים ובצפר החיה ובעץ הארז ובאזב ובשני התולעת
(256782, 67, 4);[90, 200, 30, 10];330;צרלי;67463;(5, 4, 8, 8, 67463);צדיקם;1;(5, 4, 8, 27, 256782);ומי גוי גדול אשר לו חקים ומשפטים צדיקם ככל התורה הזאת אשר אנכי נתן לפניכם היום
(21869, 68, 4);[90, 200, 30, 10];330;צרלי;5838;(1, 18, 28, 15, 5838);אמצא;3;(1, 18, 28, 61, 21869);אולי יחסרון חמשים הצדיקם חמשה התשחית בחמשה את כל העיר ויאמר לא אשחית אם אמצא שם ארבעים וחמשה
(88674, 68, 4);[90, 200, 30, 10];330;צרלי;23367;(2, 8, 13, 22, 23367);ארץ;3;(2, 8, 13, 76, 88674);ויעשו כן ויט אהרן את ידו במטהו ויך את עפר הארץ ותהי הכנם באדם ובבהמה כל עפר הארץ היה כנים בכל ארץ מצרים
(58886, 69, 4);[90, 200, 30, 10];330;צרלי;15653;(1, 40, 2, 1, 15653);ויקצף;4;(1, 40, 2, 4, 58886);ויקצף פרעה על שני סריסיו על שר המשקים ועל שר האופים
(63276, 69, 4);[90, 200, 30, 10];330;צרלי;16803;(1, 42, 6, 17, 16803);ארצה;3;(1, 42, 6, 65, 63276);ויוסף הוא השליט על הארץ הוא המשביר לכל עם הארץ ויבאו אחי יוסף וישתחוו לו אפים ארצה
(100782, 70, 4);[90, 200, 30, 10];330;צרלי;26575;(2, 15, 22, 7, 26575);ויצאו;3;(2, 15, 22, 23, 100782);ויסע משה את ישראל מים סוף ויצאו אל מדבר שור וילכו שלשת ימים במדבר ולא מצאו מים
(123061, 70, 4);[90, 200, 30, 10];330;צרלי;32457;(2, 30, 1, 5, 32457);עצי;2;(2, 30, 1, 19, 123061);ועשית מזבח מקטר קטרת עצי שטים תעשה אתו
(207938, 70, 4);[90, 200, 30, 10];330;צרלי;54798;(4, 11, 22, 5, 54798);ומצא;3;(4, 11, 22, 18, 207938);הצאן ובקר ישחט להם ומצא להם אם את כל דגי הים יאסף להם ומצא להם
(245207, 73, 4);[90, 200, 30, 10];330;צרלי;64462;(4, 33, 36, 2, 64462);מעצין;3;(4, 33, 36, 8, 245207);ויסעו מעצין גבר ויחנו במדבר צן הוא קדש
(276319, 73, 4);[90, 200, 30, 10];330;צרלי;72480;(5, 15, 19, 18, 72480);צאנך;1;(5, 15, 19, 69, 276319);כל הבכור אשר יולד בבקרך ובצאנך הזכר תקדיש ליהוה אלהיך לא תעבד בבכר שורך ולא תגז בכור צאנך
(294093, 73, 4);[90, 200, 30, 10];330;צרלי;77207;(5, 28, 51, 18, 77207);צאנך;1;(5, 28, 51, 68, 294093);ואכל פרי בהמתך ופרי אדמתך עד השמדך אשר לא ישאיר לך דגן תירוש ויצהר שגר אלפיך ועשתרת צאנך עד האבידו אתך
(44532, 74, 4);[90, 200, 30, 10];330;צרלי;11865;(1, 31, 18, 18, 11865);יצחק;2;(1, 31, 18, 59, 44532);וינהג את כל מקנהו ואת כל רכשו אשר רכש מקנה קנינו אשר רכש בפדן ארם לבוא אל יצחק אביו ארצה כנען
(97318, 75, 4);[90, 200, 30, 10];330;צרלי;25684;(2, 13, 11, 6, 25684);ארץ;3;(2, 13, 11, 19, 97318);והיה כי יבאך יהוה אל ארץ הכנעני כאשר נשבע לך ולאבתיך ונתנה לך
(84139, 76, 4);[90, 200, 30, 10];330;צרלי;22199;(2, 5, 11, 7, 22199);תמצאו;3;(2, 5, 11, 22, 84139);אתם לכו קחו לכם תבן מאשר תמצאו כי אין נגרע מעבדתכם דבר
(156951, 77, 4);[90, 200, 30, 10];330;צרלי;41420;(3, 11, 35, 9, 41420);יתץ;3;(3, 11, 35, 36, 156951);וכל אשר יפל מנבלתם עליו יטמא תנור וכירים יתץ טמאים הם וטמאים יהיו לכם
(292848, 77, 4);[90, 200, 30, 10];330;צרלי;76884;(5, 28, 26, 8, 76884);הארץ;4;(5, 28, 26, 36, 292848);והיתה נבלתך למאכל לכל עוף השמים ולבהמת הארץ ואין מחריד
(6982, 78, 4);[90, 200, 30, 10];330;צרלי;1859;(1, 6, 4, 3, 1859);בארץ;4;(1, 6, 4, 13, 6982);הנפלים היו בארץ בימים ההם וגם אחרי כן אשר יבאו בני האלהים אל בנות האדם וילדו להם המה הגברים אשר מעולם אנשי השם
(276133, 79, 4);[90, 200, 30, 10];330;צרלי;72431;(5, 15, 17, 3, 72431);המרצע;4;(5, 15, 17, 11, 276133);ולקחת את המרצע ונתתה באזנו ובדלת והיה לך עבד עולם ואף לאמתך תעשה כן
(1425, 80, 4);[90, 200, 30, 10];330;צרלי;360;(1, 1, 28, 11, 360);הארץ;4;(1, 1, 28, 44, 1425);ויברך אתם אלהים ויאמר להם אלהים פרו ורבו ומלאו את הארץ וכבשה ורדו בדגת הים ובעוף השמים ובכל חיה הרמשת על הארץ
(61873, 80, 4);[90, 200, 30, 10];330;צרלי;16419;(1, 41, 36, 11, 16419);מצרים;2;(1, 41, 36, 43, 61873);והיה האכל לפקדון לארץ לשבע שני הרעב אשר תהיין בארץ מצרים ולא תכרת הארץ ברעב
(187239, 80, 4);[90, 200, 30, 10];330;צרלי;49480;(4, 1, 22, 19, 49480);צבא;1;(4, 1, 22, 78, 187239);לבני שמעון תולדתם למשפחתם לבית אבתם פקדיו במספר שמות לגלגלתם כל זכר מבן עשרים שנה ומעלה כל יצא צבא
(232491, 80, 4);[90, 200, 30, 10];330;צרלי;61290;(4, 26, 33, 18, 61290);ותרצה;4;(4, 26, 33, 62, 232491);וצלפחד בן חפר לא היו לו בנים כי אם בנות ושם בנות צלפחד מחלה ונעה חגלה מלכה ותרצה
(260324, 80, 4);[90, 200, 30, 10];330;צרלי;68379;(5, 5, 17, 2, 68379);תרצח;3;(5, 5, 17, 5, 260324);לא תרצח ולא תנאף ולא תגנב ולא תענה ברעך עד שוא
(1331, 81, 4);[90, 200, 30, 10];330;צרלי;336;(1, 1, 26, 19, 336);הארץ;4;(1, 1, 26, 84, 1331);ויאמר אלהים נעשה אדם בצלמנו כדמותנו וירדו בדגת הים ובעוף השמים ובבהמה ובכל הארץ ובכל הרמש הרמש על הארץ
(78862, 81, 4);[90, 200, 30, 10];330;צרלי;20814;(2, 1, 19, 8, 20814);המצרית;3;(2, 1, 19, 30, 78862);ותאמרן המילדת אל פרעה כי לא כנשים המצרית העברית כי חיות הנה בטרם תבוא אלהן המילדת וילדו
(243062, 81, 4);[90, 200, 30, 10];330;צרלי;63944;(4, 32, 21, 4, 63944);חלוץ;4;(4, 32, 21, 13, 243062);ועבר לכם כל חלוץ את הירדן לפני יהוה עד הורישו את איביו מפניו
(101201, 83, 4);[90, 200, 30, 10];330;צרלי;26687;(2, 16, 1, 22, 26687);מארץ;4;(2, 16, 1, 83, 101201);ויסעו מאילם ויבאו כל עדת בני ישראל אל מדבר סין אשר בין אילם ובין סיני בחמשה עשר יום לחדש השני לצאתם מארץ מצרים
(8866, 84, 4);[90, 200, 30, 10];330;צרלי;2378;(1, 7, 19, 6, 2378);הארץ;4;(1, 7, 19, 21, 8866);והמים גברו מאד מאד על הארץ ויכסו כל ההרים הגבהים אשר תחת כל השמים
(80760, 84, 4);[90, 200, 30, 10];330;צרלי;21310;(2, 3, 8, 2, 21310);להצילו;3;(2, 3, 8, 7, 80760);וארד להצילו מיד מצרים ולהעלתו מן הארץ ההוא אל ארץ טובה ורחבה אל ארץ זבת חלב ודבש אל מקום הכנעני והחתי והאמרי והפרזי והחוי והיבוסי
(88593, 84, 4);[90, 200, 30, 10];330;צרלי;23344;(2, 8, 12, 18, 23344);ארץ;3;(2, 8, 12, 57, 88593);ויאמר יהוה אל משה אמר אל אהרן נטה את מטך והך את עפר הארץ והיה לכנם בכל ארץ מצרים
(86174, 86, 4);[90, 200, 30, 10];330;צרלי;22717;(2, 6, 27, 7, 22717);להוציא;4;(2, 6, 27, 27, 86174);הם המדברים אל פרעה מלך מצרים להוציא את בני ישראל ממצרים הוא משה ואהרן
(258897, 86, 4);[90, 200, 30, 10];330;צרלי;68002;(5, 4, 40, 8, 68002);מצוך;2;(5, 4, 40, 29, 258897);ושמרת את חקיו ואת מצותיו אשר אנכי מצוך היום אשר ייטב לך ולבניך אחריך ולמען תאריך ימים על האדמה אשר יהוה אלהיך נתן לך כל הימים
(134779, 87, 4);[90, 200, 30, 10];330;צרלי;35547;(2, 37, 1, 8, 35547);וחצי;3;(2, 37, 1, 30, 134779);ויעש בצלאל את הארן עצי שטים אמתים וחצי ארכו ואמה וחצי רחבו ואמה וחצי קמתו
(157319, 88, 4);[90, 200, 30, 10];330;צרלי;41523;(3, 11, 43, 7, 41523);השרץ;4;(3, 11, 43, 27, 157319);אל תשקצו את נפשתיכם בכל השרץ השרץ ולא תטמאו בהם ונטמתם בם
(3733, 89, 4);[90, 200, 30, 10];330;צרלי;981;(1, 3, 16, 6, 981);עצבונך;2;(1, 3, 16, 19, 3733);אל האשה אמר הרבה ארבה עצבונך והרנך בעצב תלדי בנים ואל אישך תשוקתך והוא ימשל בך
(62931, 89, 4);[90, 200, 30, 10];330;צרלי;16712;(1, 41, 56, 14, 16712);למצרים;3;(1, 41, 56, 46, 62931);והרעב היה על כל פני הארץ ויפתח יוסף את כל אשר בהם וישבר למצרים ויחזק הרעב בארץ מצרים
(105389, 89, 4);[90, 200, 30, 10];330;צרלי;27815;(2, 18, 23, 6, 27815);וצוך;2;(2, 18, 23, 17, 105389);אם את הדבר הזה תעשה וצוך אלהים ויכלת עמד וגם כל העם הזה על מקמו יבא בשלום
(221610, 89, 4);[90, 200, 30, 10];330;צרלי;58426;(4, 19, 18, 20, 58426);בעצם;3;(4, 19, 18, 70, 221610);ולקח אזוב וטבל במים איש טהור והזה על האהל ועל כל הכלים ועל הנפשות אשר היו שם ועל הנגע בעצם או בחלל או במת או בקבר
(246540, 90, 4);[90, 200, 30, 10];330;צרלי;64800;(4, 34, 9, 12, 64800);צפון;1;(4, 34, 9, 45, 246540);ויצא הגבל זפרנה והיו תוצאתיו חצר עינן זה יהיה לכם גבול צפון
(98709, 92, 4);[90, 200, 30, 10];330;צרלי;26044;(2, 14, 12, 13, 26044);מצרים;2;(2, 14, 12, 48, 98709);הלא זה הדבר אשר דברנו אליך במצרים לאמר חדל ממנו ונעבדה את מצרים כי טוב לנו עבד את מצרים ממתנו במדבר
(211144, 92, 4);[90, 200, 30, 10];330;צרלי;55653;(4, 14, 4, 8, 55653);מצרימה;2;(4, 14, 4, 30, 211144);ויאמרו איש אל אחיו נתנה ראש ונשובה מצרימה
(222888, 92, 4);[90, 200, 30, 10];330;צרלי;58764;(4, 20, 18, 9, 58764);אצא;2;(4, 20, 18, 29, 222888);ויאמר אליו אדום לא תעבר בי פן בחרב אצא לקראתך
(245769, 92, 4);[90, 200, 30, 10];330;צרלי;64600;(4, 33, 51, 13, 64600);ארץ;3;(4, 33, 51, 44, 245769);דבר אל בני ישראל ואמרת אלהם כי אתם עברים את הירדן אל ארץ כנען
(415, 93, 4);[90, 200, 30, 10];330;צרלי;107;(1, 1, 10, 4, 107);ארץ;3;(1, 1, 10, 18, 415);ויקרא אלהים ליבשה ארץ ולמקוה המים קרא ימים וירא אלהים כי טוב
(48373, 95, 4);[90, 200, 30, 10];330;צרלי;12888;(1, 33, 4, 1, 12888);וירץ;4;(1, 33, 4, 4, 48373);וירץ עשו לקראתו ויחבקהו ויפל על צוארו וישקהו ויבכו
(95632, 96, 4);[90, 200, 30, 10];330;צרלי;25230;(2, 12, 28, 6, 25230);צוה;1;(2, 12, 28, 23, 95632);וילכו ויעשו בני ישראל כאשר צוה יהוה את משה ואהרן כן עשו
(179654, 96, 4);[90, 200, 30, 10];330;צרלי;47548;(3, 25, 2, 16, 47548);הארץ;4;(3, 25, 2, 55, 179654);דבר אל בני ישראל ואמרת אלהם כי תבאו אל הארץ אשר אני נתן לכם ושבתה הארץ שבת ליהוה
(268709, 96, 4);[90, 200, 30, 10];330;צרלי;70506;(5, 11, 3, 11, 70506);מצרים;2;(5, 11, 3, 41, 268709);ואת אתתיו ואת מעשיו אשר עשה בתוך מצרים לפרעה מלך מצרים ולכל ארצו
(259086, 97, 4);[90, 200, 30, 10];330;צרלי;68055;(5, 4, 43, 4, 68055);בארץ;4;(5, 4, 43, 14, 259086);את בצר במדבר בארץ המישר לראובני ואת ראמת בגלעד לגדי ואת גולן בבשן למנשי
(8626, 99, 4);[90, 200, 30, 10];330;צרלי;2313;(1, 7, 14, 12, 2313);הארץ;4;(1, 7, 14, 45, 8626);המה וכל החיה למינה וכל הבהמה למינה וכל הרמש הרמש על הארץ למינהו וכל העוף למינהו כל צפור כל כנף
(233614, 99, 4);[90, 200, 30, 10];330;צרלי;61540;(4, 26, 59, 11, 61540);במצרים;3;(4, 26, 59, 37, 233614);ושם אשת עמרם יוכבד בת לוי אשר ילדה אתה ללוי במצרים ותלד לעמרם את אהרן ואת משה ואת מרים אחתם
